"city_name","average_salary"
"Munich","60800.0"
"Ingolstadt ","55000.0"
"Bielefeld","55000.0"
"Stuttgart","55000.0"
"Frankfurt","53333.3"
"Bonn","52500.0"
"Paderborn","51000.0"
"Moscow","50000.0"
"Hamburg","48666.7"
"Münster","48000.0"
"Wolfsburg","48000.0"
"Siegen","48000.0"
"Boeblingen","48000.0"
"Amsterdam","48000.0"
"Berlin","46880.0"
"Tuttlingen","46000.0"
"Düsseldorf ","45000.0"
"Cologne","45000.0"
"Düsseldorf","45000.0"
"Ansbach","42000.0"
"Marseille","42000.0"
"Brussels ","38000.0"
"Nürnberg","37500.0"
"Tallinn","30000.0"
"Rome","25300.0"
"Eindhoven","24000.0"
"Tampere (Finland)","23000.0"
"Barcelona","22000.0"
"Aachen","10164.0"
